code,name,description,cost_price
1300 multy net 3in1 juicer,1300 Multy Net 3in1 Juicer,,3060
130 nd national microwave oven digital grill,130 ND National Microwave Oven Digital Grill,,10100
176 national gs 7030,176 National Gs 7030,,0
440 seco heater,440 Seco Heater,,7200
1765 panasonic 4in1 juicer copper,1765 Panasonic 4in1 Juicer Copper,,3750
base body 592 blender,Base Body 592 Blender,,20
398 anex egg beater,398 anex egg beater,,7841.17
555 braun stick set,555 braun stick set,,2600
136 dawlance micro oven,136 Dawlance Micro Oven,,20831
300 panasonic sandwich maker,300 Panasonic Sandwich Maker,,1280
2022 anex cooker multi 1350 watt,2022 Anex Cooker Multi 1350 Watt,,7416.25
6183 panasonic blender,6183 Panasonic Blender,,2075
1177 seco roti maker,1177 Seco Roti Maker,,1800
876 philips 3in1 juicer 7030 motor,876 Philips 3in1 Juicer 7030 Motor,,2900
5100 air fryer,5100 air fryer,,14762.5
box 4430 juicer,Box 4430 Juicer,,122
500 mj blender,500 MJ BLENDER,,1440
8807 air max fan,8807 Air Max Fan,,0
electroluxe microwave oven,Electroluxe Microwave Oven,,6900
2021 anex rice cooker 1.8 ltr,2021 Anex Rice Cooker 1.8 Ltr,,7848.75
10 ltr philips rice cooker ib,10 Ltr Philips Rice Cooker IB,,7000
4455 st national heavy commercial 3in1 juicer ib,4455 ST National Heavy Commercial 3in1 Juicer IB,,5862.5
2398 seco fan,2398 Seco Fan,,0
925 ns blender 618,925 NS Blender 618,,1900
876 philips juicer 3in1 8830,876 philips juicer 3in1 8830,,3600
01 anex handy chopper,01 Anex Handy Chopper,,1501.5
500 3 ltr chopper,500 3 Ltr Chopper,,0
4525 seco electric oven toaster,4525 Seco Electric Oven Toaster,,9900
202 seco stick,202 Seco Stick,,2600
box st 26 iron,Box St 26 Iron,,57
china fan heater,China Fan Heater,,1600
motor 820 st national chopper,Motor 820 St National Chopper,,2000
695 jpn sogo fan,695 JPN SOGO FAN,,5500
pure body white top,Pure Body White Top,,1438
004 st 7020 national blender,004 St 7020 National Blender,,1900
25 xmg2 manual grill enviro,25 XMG2 Manual Grill Enviro,,22000
2056 oxford chopper,2056 Oxford Chopper,,1500
245 nd national kettle,245 ND National Kettle,,3293
015 panasonic chopper 3 ltr,015 Panasonic Chopper 3 ltr,,2475
097 st dish heater,097 St Dish Heater,,1250
2025 chan baby heater,2025 Chan Baby Heater,,825
005 natianal egg beater,005 Natianal egg beater,,1500
7082 nd blender single dabi,7082 ND Blender Single Dabi,,2762.25
4400 remington hair dryer,4400 Remington Hair Dryer,,2300
7700 philips 4in1 juicer copper,7700 Philips 4in1 Juicer Copper,,4200
2100 panasonic chopper,2100 Panasonic Chopper,,5000
395 hcg dawlance microwave oven,395 HCG Dawlance Microwave Oven,,20764
20 xm4 enviro micro oven,20 XM4 Enviro Micro Oven,,10824.07
zeeshan haider ghazanfar brothers sales tax return,Zeeshan Haider Ghazanfar Brothers Sales Tax Return,,150000
104 seco thormas,104 SECO THORMAS,,990
4070 philips iron dry heavy weight,4070 Philips Iron Dry Heavy Weight,,1460
1021 w gx mx panasonic blender,1021 W GX MX Panasonic Blender,,1450
932 nd national hand blender,932 ND National Hand Blender,,3915
mrs. aneeqa batool glourious i.t return & wealth statement,Mrs. Aneeqa Batool Glourious I.T Return & Wealth Statement,,65000
9018 raf hot plate,9018 Raf Hot Plate,,3275
3003 national chopp,3003 National Chopp,,3000
3003 philips chopper,3003 Philips Chopper,,3000
body wp juicer,Body WP Juicer,,750
001 st national blender,001 ST National Blender,,1040
3003 rigga roti maker,3003 Rigga Roti Maker,,4750
1802 philips sandwich maker,1802 Philips Sandwich Maker,,2140
102 arson blender,102 Arson Blender,,1100
301 kenwood chopper,301 Kenwood Chopper,,10500
3019 anex toaster,3019 Anex Toaster,,7161.7
953 nd national chopper with citrus,953 ND National Chopper  With Citrus,,6090
301 moulinex blender,301 Moulinex Blender,,3200
1250 st national food pro,1250 ST National Food Pro,,5100
860 kw air fryer,860 KW Air Fryer,,11700
7671 air fryer 12.8 ltr,7671 Air Fryer 12.8 Ltr,,12500
780 st national 3in1 juicer,780 ST National 3in1 Juicer,,2850
020 st heater,020 ST Heater,,1050
350 g silver crest grinder,350 G Silver Crest Grinder,,14000
303 nd national box heater,303 ND National Box Heater,,1725
9787 philips air fryer,9787 Philips Air Fryer,,12500
9535 commercial blender,9535 Commercial Blender,,12250
48 hm nd national hand mixer,48 HM ND National Hand Mixer,,2848
3047 moulinex chopper,3047 Moulinex Chopper,,3800
3038 braun hand blender,3038 Braun Hand Blender,,18000
3048 braun chopper,3048 Braun Chopper,,3800
9400 kenwood food processor,9400 Kenwood Food Processor,,10000
wk 24 kettle,Wk 24 Kettle,,2150
black body complete set,black body complete set,,950
03 a max table dish heater,03 A MAX Table Dish Heater,,2100
3055 nd national deep fryer,3055 ND National Deep Fryer,,5162
314 deuron sandwich maker,314 Deuron Sandwich Maker,,2925
3060 anex meat grinder with metal gear,3060 Anex Meat Grinder With Metal Gear,,21840
700 spell food processor,700 Spell Food Processor,,9434
19 km kemei curler,19 KM Kemei Curler,,2050
3072 panasonic china steal stick,3072 Panasonic China Steal Stick,,1680
312 nd national fan heater,312 ND National Fan Heater,,3204
314 indus blender,314 Indus Blender,,1050
3066tt anex oven tao,3066TT Anex Oven Tao,,7680
1019 jug,1019 jug,,225
1015 oxford juicer,1015 Oxford Juicer,,2480
3096 nd national garments steamer,3096 ND National Garments Steamer,,11310
mo-200 sandwich maker panasonic,MO-200 Sandwich Maker Panasonic,,2600
1020 b dawlance iron black,1020 B Dawlance Iron Black,,4728
7616 west point iron,7616 West Point Iron,,2200
3071 national plastic stick china,3071 National Plastic Stick China,,1050
3131 braun chopper,3131 Braun Chopper,,15800
1020 w dawlance iron,1020 W Dawlance Iron,,3437.33
315 philips chopper,315 Philips Chopper,,6000
3153 anex food factory silver,3153 Anex Food Factory Silver,,17401.68
g35 angeleno coffee maker,G35 Angeleno Coffee Maker,,20500
4097 nd national garment steamer,4097 ND National Garment Steamer,,13920
8000 silver panasonic microwave sha,8000 SILVER Panasonic microwave sha,,14600
602 deuron single juicer,602 Deuron Single Juicer,,6615
310 national kettle,310 National Kettle,,2047
4072 anex kettle,4072 Anex Kettle,,8281
2322 dawlance steam iron,2322 Dawlance Steam Iron,,1891.67
314 nd national fan heater,314 ND National Fan Heater,,3293
shelving soft 4in1 juicer,Shelving Soft 4in1 Juicer,,550
970 kenwood vacuum cleaner car shape,970 Kenwood Vacuum Cleaner Car Shape,,10500
mrs. farwa zeeshan marvellous i.t wealth statement,Mrs. Farwa Zeeshan Marvellous I.T Wealth Statement,,65000
juicer white body 3in1 7025cc,Juicer White Body 3in1 7025cc,,893.16
180 nd national 3in1 juicer,180 ND National 3in1 Juicer,,6812.75
317 panasonic iron,317 Panasonic Iron,,5400
7615 kenwood food factory,7615 Kenwood Food Factory,,11030
1212 st national steam iron,1212 St National Steam Iron,,1955
2123 anex electric oven toaster with air fryer 23 ltr,2123 Anex Electric Oven Toaster With Air Fryer 23 Ltr,,34125
333 panasonic sandwich maker,333 Panasonic Sandwich Maker,,2359
999 st. 7015 blender,999 St. 7015 blender,,588.75
1501 min max electric tandor,1501 Min Max Electric Tandor,,9000
2380 microwave oven,2380 Microwave Oven,,16222.22
324 st national sandwich maker,324 ST National Sandwich Maker,,1400
228 peach panasonic juicer,228 PEACH PANASONIC JUICER,,5500
1025 anex steam iron,1025 Anex Steam Iron,,6688.5
318 national blender,318 National Blender,,840
888 philips blender dd,888 Philips Blender DD,,1600
blade jug china 176,Blade jug china 176,,45.33
1026 panasonic blender dd stc,1026 Panasonic Blender DD STC,,2075
3018 seco stand mixer,3018 Seco Stand Mixer,,20800
676 geepas panni,676 Geepas Panni,,5000
3355 national 3in1 juicer,3355 National 3in1 Juicer,,2900
333 philips sandwich maker,333 Philips Sandwich Maker,,2360
complete pure juicer set,Complete Pure Juicer Set,,1355
801 ns hot plate,801 NS Hot Plate,,3200
35 cambridge single juicer,35 Cambridge Single Juicer,,3311
102 anex hand blender,102 Anex Hand Blender,,3500
392 anex egg beater,392 Anex Egg Beater,,6188
340 moulinex 7030 copper 3in1 juicer,340 Moulinex 7030 Copper 3in1 Juicer,,4650
18 g power mixer,18 G Power Mixer,,16000
374 dawlance microwave oven,374 Dawlance Microwave Oven,,22010.62
111 st national blender,111 St National Blender,,2165
1026 anex steam iron,1026 Anex Steam Iron,,4295.2
1074 philips 7015,1074 philips 7015,,2050
1018 anex handy garment steamer,1018 Anex Handy Garment Steamer,,8827
complete juicer set,Complete Juicer Set,,863.44
388 dawlance microwave oven,388 Dawlance Microwave Oven,,14488
3026 dsp roti maker,3026 DSP Roti Maker,,8075
2017 homage microwave,2017 Homage Microwave,,12000
2050 np iron,2050 NP Iron,,700
393 dawlance microwave oven,393 Dawlance Microwave Oven,,24396.67
394 anex egg beater,394 Anex Egg Beater,,4732
20 mo microwave oven,20 MO Microwave Oven,,11450
399 anex egg beater,399 Anex Egg Beater,,6097
4 md black dawlance microwave oven,4 MD Black Dawlance Microwave Oven,,13720.31
1027 anex steam iron,1027 Anex Steam Iron,,7434.7
912 ns sandwich maker,912 NS Sandwich Maker,,1950
242 moulinex blender china,242 Moulinex Blender China,,13200
7799 nd national blender heavy duty,7799 ND National Blender Heavy Duty,,8900
424 panasonic blender dd,424 Panasonic Blender DD,,2255
4002 m net kettle,4002 M Net Kettle,,1080
1234 remington hair dryer,1234 Remington Hair Dryer,,2000
4080 philips gray iron,4080 Philips Gray Iron,,1615.25
2301 encona iron,2301 ENCONA IRON,,800
4545 panasonic kettle,4545 Panasonic Kettle,,2200
4000 kenwood 4in1 juicer,4000 Kenwood 4in1 Juicer,,4569.23
440 sandwich maker 4 slice,440 Sandwich Maker 4 Slice,,5000
4030 anex kettle 1 ltr,4030 Anex Kettle 1 Ltr,,4013.1
mq 3035 braun hand blender,MQ 3035 Braun Hand Blender,,15800
401 apple blender,401 Apple Blender,,725
4001 multy net kettle,4001 Multy Net Kettle,,990
1058 nd national hot plate,1058 ND National Hot Plate,,5133
389 seco box heater,389 Seco Box Heater,,1450
4032 anex kettle 1 ltr,4032 Anex Kettle 1 Ltr,,4638.73
404 k tech blender,404 K Tech Blender,,960
8003 panasonic 3in1 juicer,8003 Panasonic 3in1 Juicer,,2990
motor 1000 panasonic blender,Motor 1000 Panasonic Blender,,2525
4042 anex kettle 1.7 ltr,4042 Anex Kettle 1.7 Ltr,,6385.17
4048 anex kettle steel 1.7 ltr,4048 Anex Kettle Steel 1.7 Ltr,,7712.25
4040 oxford 4in1 juicer,4040 Oxford 4in1 Juicer,,4542.32
flower china blender,Flower China Blender,,43.33
4029 anex kettle,4029 Anex Kettle,,2757.3
690 yl china panasonic vacuum cleaner,690 YL China Panasonic Vacuum Cleaner,,9562.5
7030 cooper juicer moter,7030 cooper juicer moter,,1293.75
186 seco 3in1 juicer,186 Seco 3in1 Juicer,,4100
680 food prosscer moulinex,680 Food Prosscer Moulinex,,0
2000w silver crest fan heater,2000W Silver Crest Fan Heater,,1450
4055 philips iron dry heavy weight,4055 Philips Iron Dry Heavy Weight,,614
wire computerise juicer & blender,Wire Computerise Juicer & Blender,,57.7
543 body,543 body,,0
4051 anex kettle steel 1 ltr,4051 Anex Kettle Steel 1 Ltr,,6392.75
8825 white body juicer 3in1,8825 white body juicer 3in1,,4500
peach juicer complete set,peach juicer complete set,,925
4043 anex kettle 1.7 ltr,4043 Anex Kettle 1.7 Ltr,,5114.2
3052 anex food factory,3052 Anex Food Factory,,16261.7
81 nd national heavy weight iron,81 ND National Heavy Weight Iron,,3267.68
666 jpn sogo hot plate,666 JPN Sogo Hot Plate,,7200
008 kenwood kettle,008 Kenwood Kettle,,1450
9400 panasonic food processor,9400 Panasonic Food Processor,,10000
630 seco heater,630 Seco Heater,,2300
600 st national blender,600 ST National Blender,,2400
2000 nd national electric oven,2000 ND National Electric Oven,,10440
40 hm nd national hand mixer,40 HM ND National Hand Mixer,,2784
600 3 ltr chopper,600 3 Ltr Chopper,,0
30 x on citrus,30 X On Citrus,,0
5070 seco air fryer,5070 Seco Air Fryer,,4900
618 nd national food processor,618 ND National Food Processor,,9222
2029 anex roti maker 12 inch,2029 Anex Roti Maker 12 Inch,,12380.14
550 af dawlance conventional micro oven,550 AF Dawlance Conventional Micro Oven,,40600
3041 sinbo chopper,3041 Sinbo Chopper,,8500
7030 cooper 1760 4in1 juicer,7030 cooper 1760 4in1 juicer,,0
2100 kenwood chooper,2100 Kenwood Chooper,,5000
831 geepas cotton candy,831 Geepas Cotton Candy,,10000
3055 htc iron,3055 HTC Iron,,1323.33
box 8825 moulinex 3in1 juicer,Box 8825 Moulinex 3in1 Juicer,,76
3040 n gray iron national,3040 N Gray Iron National,,965
6021 anex blender,6021 Anex Blender,,4500
kolax egg boiler,Kolax Egg Boiler,,2800
19064 geepas vacuum cleaner,19064 Geepas Vacuum Cleaner,,17000
122 sanyyo stand dish,122 Sanyyo Stand Dish,,5000
777 national 3in1 juicer white body 7025cc,777 National 3in1 Juicer White Body 7025CC,,0
871 kenwood blender,871 Kenwood Blender,,2525
7025 anex hair dryer,7025 Anex Hair Dryer,,6561.1
3700 kenwood 4in1 juicer,3700 Kenwood 4in1 Juicer,,3600
box 176 philips 3in1 juicer,Box 176 Philips 3in1 Juicer,,80.33
20 xm3 national micro oven,20 XM3 National Micro Oven,,10000
box 730 ph 3in1 juicer,Box 730 Ph 3in1 Juicer,,81
7830 kenwood air fryer,7830 Kenwood Air Fryer,,13000
805 philips air fryer,805 Philips Air Fryer,,14000
690 st panasonic vacuum,690 ST Panasonic Vacuum,,8500
0817 panasonic iron,0817 Panasonic Iron,,1850
7020cc blender motor,7020CC Blender Motor,,670
4019 large dish heater,4019 Large Dish Heater,,2750
5566 panasonic food factory unbreakable,5566 Panasonic Food Factory Unbreakable,,6000
15566 china helogen heater,15566 China Helogen Heater,,2000
133 bc nd national juicer,133 BC ND National Juicer,,4550
bosh cooper 50%,BOSH COOPER 50%,,45
9094 nd national blender dd,9094 ND National Blender DD,,3306
276 panasonic 3in1 juicer,276 Panasonic 3in1 Juicer,,2900
3016 seco stand mixer,3016 Seco Stand Mixer,,15800
815 cambridge stick,815 Cambridge Stick,,5260
112 philips hand blender,112 Philips Hand Blender,,3300
3316 ab 16 inch table dish heater,3316 AB 16 Inch Table Dish Heater,,2150
41 moulinex china meat machine,41 Moulinex China Meat Machine,,1800
3018 anex toaster 2 slice cool touch,3018 Anex Toaster 2 Slice Cool Touch,,6861.4
25141 moulinex food processor,25141 MOULINEX FOOD PROCESSOR,,4950
953 indus 3in1 juicer,953 Indus 3in1 Juicer,,2300
903 spell blender,903 Spell Blender,,2793
thermo sheet doouble dabi,Thermo Sheet Doouble Dabi,,21
5017 anex fan heater,5017 Anex Fan Heater,,0
17k w2 np national kettle,17K W2 NP National Kettle,,2092
20 w lido insect killer,20 W Lido Insect Killer,,2000
306 deuron sandwich maker,306 Deuron Sandwich Maker,,2925
411 deuron 3in1 juicer,411 Deuron 3in1 Juicer,,4905
410 panasonic sandwich maker,410 Panasonic Sandwich Maker,,1260
005 panasonic sandwich maker,005 Panasonic Sandwich Maker,,1480
1028 dsp citrus,1028 DSP Citrus,,1250
2937 sinbo coffee grinder,2937 Sinbo Coffee Grinder,,2600
6037 anex blender,6037 Anex Blender,,6734
508 multy net fan,508 Multy Net Fan,,0
4201 zeedan kettle,4201 Zeedan Kettle,,950
416 panasonic sandwich maker,416 Panasonic Sandwich Maker,,2175
412 panasonic sandwich maker,412 Panasonic Sandwich Maker,,1798.33
2045 panasonic iron p gray,2045 Panasonic Iron P Gray,,1200
box 0964 blender,Box 0964 Blender,,82.5
44 m net blender,44 M Net Blender,,1440
1040 gb national golden iron,1040 GB National Golden Iron,,1192
016 kenwood chopper 3 ltr,016 Kenwood Chopper 3 Ltr,,2425
2620 national 4in1 juicer,2620 National 4in1 Juicer,,4775
box 1760 panasonic 4in1 juicer,Box 1760 Panasonic 4in1 Juicer,,95
4440 st national juicer 1050 watts,4440 ST National Juicer 1050 Watts,,4950
0000 st national 900w 3in1 juicer,0000  St National 900W 3in1 Juicer,,0
43022 geepas hand mixer,43022 Geepas Hand Mixer,,2800
519 sandwich maker 4 slice griller,519 Sandwich Maker 4 Slice Griller,,4928.57
8825 panasonic 3in1 juicer stc,8825 Panasonic 3in1 Juicer STC,,4450
419 7020cc panasonic blender,419 7020CC Panasonic Blender,,1155
box 1018 panasonic blender,Box 1018 Panasonic Blender,,53.14
2020 anex air fryer,2020 Anex Air Fryer,,21964.37
475 dawlance stick blender,475 Dawlance Stick Blender,,3603
4440 st national juicer 900 watts,4440 ST National Juicer 900 Watts,,1064.71
418 panasonic blender 7020cc,418 Panasonic Blender 7020CC,,1800
4570 geepas toaster,4570 Geepas Toaster,,1300
4172 china food steamer,4172 China Food Steamer,,1800
46015 geepas food processor,46015 Geepas Food Processor,,12000
106 anex blender,106 Anex Blender,,2490
1040 gb panasonic iron golden,1040 GB Panasonic Iron Golden,,1220
2020 sorein iron,2020 Sorein Iron,,0
5001 multy net chopper,5001 Multy Net Chopper,,3150
1321 multy net 3in1 juicer,1321 Multy Net 3in1 Juicer,,2385
1301 deuron microwave oven,1301 Deuron Microwave Oven,,6900
5086 panasonic food processor,5086 Panasonic Food Processor,,34500
5060 ns food processor,5060 NS Food Processor,,4700
510 dawlance blender,510 Dawlance Blender,,4821.6
1030 oxford chopper,1030 Oxford Chopper,,5160
2399 lido fan,2399 Lido Fan,,0
510 nd national chopper 7in1,510 ND National Chopper 7in1,,11310
5877 seco food processor,5877 SECO FOOD  PROCESSOR,,5950
500 gb sandwich maker,500 GB Sandwich Maker,,950
9770 philips air fryer 12 ltr,9770 Philips Air Fryer 12 Ltr,,17300
460 national kettle,460 National Kettle,,1298.75
216 oxford sandwich maker,216 Oxford Sandwich Maker,,2094.1
5050 ns 4in1 juicer,5050 NS 4in1 Juicer,,4483
516 ns sandwich make,516 NS Sandwich Make,,2175
880 mo microwave oven,880 MO Microwave Oven,,11350
5040 panasonic fish heater,5040 Panasonic Fish Heater,,700
1020 panasonic blender,1020 Panasonic Blender,,1121
box kw 580 blender,Box Kw 580 Blender,,72
1000 panasonic food processor,1000 Panasonic Food Processor,,8183.33
518 7020 copper panasonic blender,518 7020 Copper Panasonic Blender,,1400
0820 p golden iron,0820 P Golden Iron,,1976.67
55 ns single juicer,55 NS Single Juicer,,2205
mq 10.001m steel braun hand blender,MQ 10.001M Steel  Braun Hand Blender,,10266.67
6200 national microwave oven,6200 National Microwave Oven,,11600
2166 anex hot plate,2166 Anex Hot Plate,,12861.33
a 21 sanyo heater,A 21 Sanyo Heater,,5800
513 ns sandwich maker,513 NS Sandwich Maker,,2050
1037 anex sandwich maker,1037 Anex Sandwich Maker,,5414.5
402 philips hot plate,402 Philips Hot  Plate,,3100
458 angeleno garment steamer,458 Angeleno Garment Steamer,,14000
520 panasonic vacuum,520 Panasonic Vacuum,,7500
wk 22 kettle,Wk 22 Kettle,,2450
56 nd national chopper,56 ND National Chopper,,3962.8
5972 arson 3in1 juicer,5972 Arson 3in1 Juicer,,2300
550 nd national chopper,550 ND National Chopper,,3293
1076 gb philips 4in1 juicer,1076 GB Philips 4in1 Juicer,,3050
02 tap with shawar,02 Tap With Shawar,,2300
500 st national iron 400 watt,500 St National Iron 400 Watt,,1725
176 ss professional panasonic juicer,176 SS Professional Panasonic Juicer,,2800
600 oxford citrus pr,600 Oxford Citrus Pr,,1419
1087 anex insect killer 20 w,1087 Anex Insect Killer 20 W,,9418.5
176 p new titan 3in1 juicer,176 P New Titan 3in1 Juicer,,2300
592 national 3in1 juicer,592 National 3in1 Juicer,,3950
600 abode toaster,600 Abode Toaster,,1775
401 spell blender,401 Spell Blender,,2527.6
771 national 3in1 juicer,771 National 3in1 Juicer,,2500
602 geepas kettle,602 Geepas Kettle,,1925
box 2222 st 3in1 juicer,Box 2222 St 3in1 Juicer,,79
box 2225 4in1 juicer,Box 2225 4in1 Juicer,,55
6000c dawlance spinner,6000C Dawlance Spinner,,15000
button deuron,BUTTON DEURON,,80
811 anex coffee maker,811 Anex Coffee Maker,,9555
603 oxford blender dd,603 Oxford Blender DD,,2150
92928 x on toaster,92928 X On Toaster,,0
802 silver crest masala grinder,802 Silver Crest Masala Grinder,,1350
6044 anex blender dd,6044 Anex Blender DD,,9009
602 oxford blender,602 Oxford Blender,,1938.37
6043 anex blender,6043 Anex Blender,,8311.33
lid glass jug pure 3in1 juicer,Lid Glass Jug Pure 3in1 Juicer,,40
6046 anex blender dd,6046 Anex Blender DD,,9964.5
180 anex juicer,180 Anex Juicer,,14197.52
6045 anex blender,6045 Anex Blender,,9571.68
123 anex hand blender with beater,123 Anex Hand Blender With beater,,6506.5
25 panasonic single juicer,25 Panasonic Single Juicer,,2840
5269 philips food processor,5269 Philips Food Processor,,6800
610 oxford juicer,610 Oxford Juicer,,4062.16
610 nd national food processor,610 ND National Food Processor,,9434
777 sm panasonic iron finger,777 SM Panasonic Iron  Finger,,1633.33
444 st national juicer 900w 3in1,444 St National Juicer 900W 3in1,,4300
6038 anex blender dd,6038 Anex Blender DD,,5632.9
6280 philips kettle,6280 Philips Kettle,,3600
620 panasonic vacuum orignal number 1,620 Panasonic Vacuum ORIGNAL NUMBER 1,,31000
792 kenwood iron,792 Kenwood Iron,,0
1050 oxford chopper,1050 Oxford Chopper,,4291.4
305 nd national garment steamer,305 ND National Garment Steamer,,5443.71
176 panasonic juicer juicy commercial 3in1,176 Panasonic Juicer Juicy Commercial 3in1,,2825
620 nd national food factory 8in1,620 ND National Food Factory 8in1,,12354
1040 oxford food factory,1040 Oxford Food Factory,,7585.2
618 7020 copper panasonic blender,618 7020 Copper Panasonic Blender,,1270
62d orient microwave oven,62D Orient Microwave Oven,,17733
film plate,FILM PLATE,,7555.56
8010 raf hot plate,8010 RAF Hot Plate,,1000
630 nd national food factory,630 ND National Food Factory,,4272
venus withholding tax statement,Venus Withholding Tax Statement,,15600
632 anex coffee grin,632 Anex Coffee Grin,,4531.8
639 anex grinder,639 Anex Grinder,,4841.2
640 kenwood sandwich maker,640 Kenwood Sandwich Maker,,5600
640 moulinex ff,640 Moulinex FF,,4700
100 ds hot plate,100 DS Hot Plate,,3370
8012 osaka fan,8012 OSAKA FAN,,3400
888 geepas electric oven,888 Geepas Electric Oven,,12000
body blender 592 waheed sahab,Body Blender 592 Waheed Sahab,,135
339 nd national air fryer,339 ND National Air Fryer,,10875
212 nd national kettle 1.0 l,212 ND National Kettle 1.0 L,,3293
20md dawlance microwave oven inverter,20MD Dawlance Microwave Oven Inverter,,21500
124 panasonic stick blender,124 Panasonic Stick Blender,,2950
7184 nd national blender,7184 ND National Blender,,1650
3156 anex food processor,3156 Anex Food Processor,,24570
1041 anex chopper,1041 Anex Chopper,,16275.25
113 deuron 3in1 blender,113 Deuron 3in1 Blender,,2605.5
6136 anex blender,6136 Anex Blender,,7098
131 kenwood microwave oven,131 Kenwood Microwave Oven,,22500
650 kenwood sandwich maker,650 Kenwood Sandwich Maker,,5525
652 nd national chopper,652 ND National Chopper,,7120
65 hm nd national hand mixer,65 HM ND National Hand Mixer,,2848
6506 cambridge juice,6506 Cambridge Juice,,5525
box 777 national blender,Box 777 National Blender,,52
654 panasonic chopper,654 Panasonic Chopper,,5200
6604 cambridge juice,6604 Cambridge Juice,,4497
666 st national blender double dabi 7020cc,666 St National Blender Double Dabi 7020cc,,730
wp base golden bush,WP BASE GOLDEN BUSH,,140
7252 panasonic air fryer,7252 panasonic air fryer,,9800
1680 panasonic food processor,1680 PANASONIC FOOD PROCESSOR,,11214
pure base 3in1 juicer,Pure Base 3in1 Juicer,,97.5
0814 panasonic iron special polish,0814 Panasonic Iron Special Polish,,1605.31
705 st national food factory,705 ST National Food Factory,,8900
182 nd national citrus,182 ND National Citrus,,3132
elegant 3in1 juicer,Elegant 3in1 Juicer,,2980
833 st national chopper,833 St National Chopper,,6300
9252 philips air fryer original,9252 Philips Air Fryer Original,,26000
203 homage microwave oven,203 Homage Microwave Oven,,9272
1250 mj meat mincer,1250 mj meat mincer,,7516.67
3055 p golden panasonic iron,3055 P Golden Panasonic Iron,,840
317 nd national iron,317 ND National Iron,,990
448 philips hot plate,448 Philips Hot Plate,,3412.5
pure base with blade jar chopper,Pure Base With Blade Jar Chopper,,300
350 kenwood food factory,350 Kenwood Food Factory,,8500
glass jar chopper without lid,Glass Jar Chopper Without Lid,,300
3055 n golden national iron,3055 N Golden National Iron,,840
218 anex plus single juicer,218 Anex Plus Single  Juicer,,0
40 silver crest citrus press,40 Silver Crest Citrus Press,,2500
8030 panasonic kettle,8030 Panasonic Kettle,,1300
30 litter grill microwave,30 litter grill microwave,,20409.09
1940 panasonic food factory,1940 Panasonic Food Factory,,6800
4081 nd blender dry mill 1.6 liter,4081 ND Blender Dry Mill 1.6 Liter,,4002
3070 p gray panasonic iron,3070 P Gray Panasonic Iron,,850
2010 panasonic air fryer,2010 Panasonic Air Fryer,,10266.67
009 panaosnic kettle,009 Panaosnic Kettle,,1450
1056 st national chopper,1056 ST NATIONAL CHOPPER,,1800
3hv china moulinex meat machine,3HV China Moulinex Meat Machine,,3250
3002 kenwood double hot plate,3002 Kenwood Double Hot Plate,,8600
222 kenwood microwave oven,222 Kenwood Microwave Oven,,11314.29
015 seco hellogen 3 rad,015 seco hellogen 3 rad,,2200
400-kw 8825,400-kw 8825,,4500
200 number air fryer,200 number air fryer,,8000
3317 ab 17 inch table dish heater,3317 AB 17 Inch Table Dish Heater,,1800
690 anex blender unbreakable,690 Anex Blender Unbreakable,,5620.77
333 microwave glass door,333 microwave glass door,,11521.21
fire screen 21,fire screen 21,,12300
326 nd national vacuum cleaner,326 ND National Vacuum Cleaner,,12211.11
1760 white body golden jali 7025 cc pc jar,1760 white body golden jali 7025 cc pc jar,,4500
2041 nd national blender,2041 ND National Blender,,1762
543 blender base masala,543 blender base masala,,105
6724 dawlance vacuum,6724 Dawlance Vacuum,,11760
699 anex blender dd unbreakable,699 Anex Blender DD Unbreakable,,6348.77
5226 wahab maverick china 3in1 juicer,5226 Wahab Maverick China 3in1 Juicer,,2175
1.5 ton tcl air conditioner,1.5 Ton TCL Air Conditioner,,147000
695 anex blender dd unbreakable,695 Anex Blender DD Unbreakable,,6307.6
690 panasonic vacuum orignal numer 1,690 Panasonic Vacuum orignal numer 1,,33500
8830 juicer 3in1 panasonic,8830 juicer 3in1 panasonic,,5400
7 md dawlance microwave oven,7 MD Dawlance Microwave  Oven,,13950
1804 nd national 4in1 juicer,1804 ND National 4in1 Juicer,,7482
001 hair dryer,001 Hair Dryer,,1100
700 oxford blender,700 Oxford Blender,,1935
822 anex egg beater with bowl,822 Anex Egg Beater With Bowl,,8897.52
672 sogo fan,672 Sogo Fan,,3575
25 ltr angeleno electric oven toaster with air fryer,25 Ltr Angeleno Electric Oven Toaster With Air Fryer,,18000
424 panaosnic kettle,424 Panaosnic Kettle,,1485.71
6660 haeger eb,6660 Haeger EB,,1380
3030 oxford juicer,3030 Oxford Juicer,,3117.5
703 spell blender,703 Spell Blender,,2937
108 nd national sandwich maker black,108 ND National Sandwich Maker Black,,3045
234 st national chopper,234 St National Chopper,,4300
7030cc motor,7030cc Motor,,1000
7020 m net blender,7020 M Net Blender,,1065
21 mo microwave oven,21 MO Microwave Oven,,11450
kettle china national,Kettle China National,,786.74
box 60 mj panasonic blender,Box 60 MJ Panasonic Blender,,75.2
701 spell blender,701 Spell Blender,,2551
6790 philips air fryer 12 ltr,6790 Philips Air Fryer 12 Ltr,,14266.67
701 oxford stick,701 Oxford Stick,,2958.4
1072 anex light weight dry iron,1072 Anex Light Weight Dry Iron,,3913
